Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,2917.154053,2945.941895,2807.597900,2929.605957,2929.605957,3176100
2016-07-01,2931.802002,3069.047119,2922.520020,2979.339111,2979.339111,4011800
2016-08-01,2971.948975,3140.440918,2931.962891,3085.490967,3085.490967,3956200
2016-09-01,3083.960938,3105.677979,2969.132080,3004.702881,3004.702881,2795700
2016-10-01,3020.457031,3137.033936,3014.620117,3100.491943,3100.491943,2783300
2016-11-01,3101.664063,3301.212891,3094.103027,3250.033936,3250.033936,5200800
2016-12-01,3257.027100,3279.714111,3068.415039,3103.636963,3103.636963,3966100
2017-01-01,3105.309082,3174.577881,3044.291016,3159.166016,3159.166016,2759900
2017-02-01,3160.082031,3264.082031,3132.032959,3241.732910,3241.732910,3398000
2017-03-01,3240.072998,3283.239014,3193.156982,3222.513916,3222.513916,4117600
2017-04-01,3235.659912,3295.187012,3097.333008,3154.657959,3154.657959,3783100
2017-05-01,3147.228027,3154.781006,3016.531006,3117.177979,3117.177979,3228100
2017-06-01,3108.420898,3193.460938,3078.787109,3192.427002,3192.427002,3204600
2017-07-01,3191.998047,3276.946045,3139.503906,3273.028076,3273.028076,4187400
2017-08-01,3274.368896,3376.647949,3200.748047,3360.810059,3360.810059,5059800
2017-09-01,3365.990967,3391.644043,3332.599121,3348.943115,3348.943115,4224500
2017-10-01,3403.246094,3421.103027,3357.275879,3393.342041,3393.342041,2706700
2017-11-01,3393.968018,3450.495117,3300.781006,3317.187988,3317.187988,3976100
2017-12-01,3315.104980,3324.516113,3254.177979,3307.172119,3307.172119,2936700
2018-01-01,3314.031006,3587.031982,3314.031006,3480.833008,3480.833008,4797900
2018-02-01,3478.669922,3495.093018,3062.742920,3259.407959,3259.407959,17312381
2018-03-01,3235.089111,3333.875000,3091.458008,3168.896973,3168.896973,3704100
2018-04-01,3169.779053,3220.844971,3041.625000,3082.231934,3082.231934,20826663
2018-05-01,3087.408936,3219.739990,3041.000000,3095.474121,3095.474121,2979200
2018-06-01,3084.753906,3128.715088,2782.381104,2847.417969,2847.417969,2624100
2018-07-01,2841.580078,2915.297119,2691.020996,2876.400879,2876.400879,3049200
2018-08-01,2882.506104,2897.399902,2653.112061,2725.250000,2725.250000,2821600
2018-09-01,2716.404053,2827.341064,2644.295898,2821.350098,2821.350098,2148400
2018-10-01,2768.208008,2771.937988,2449.197021,2602.782959,2602.782959,2740500
2018-11-01,2617.032959,2703.511963,2555.322021,2588.187988,2588.187988,4052800
2018-12-01,2647.132080,2666.077881,2462.844971,2493.895996,2493.895996,2570900
2019-01-01,2497.881104,2630.318115,2440.906982,2584.572021,2584.572021,3385600
2019-02-01,2597.778076,2997.488037,2590.553955,2940.954102,2940.954102,4421800
2019-03-01,2954.402100,3129.939941,2930.834961,3090.758057,3090.758057,8691900
2019-04-01,3111.662109,3288.452881,3050.025879,3078.339111,3078.339111,7477500
2019-05-01,2984.727051,2986.540039,2833.035889,2898.696045,2898.696045,4465000
2019-06-01,2901.741943,3012.825928,2822.185059,2978.877930,2978.877930,3974800
2019-07-01,3024.624023,3048.483887,2879.689941,2932.510010,2932.510010,3606900
2019-08-01,2920.850098,2927.340088,2733.924072,2886.239990,2886.239990,3659100
2019-09-01,2886.941895,3042.929932,2883.681885,2905.189941,2905.189941,3946600
2019-10-01,2905.760010,3026.379883,2891.540039,2929.060059,2929.060059,2635100
2019-11-01,2924.340088,3008.310059,2858.580078,2871.979980,2871.979980,3044900
2019-12-01,2874.449951,3051.677002,2857.320068,3050.124023,3050.124023,4127700
2020-01-01,3066.335938,3127.168945,2955.345947,2976.528076,2976.528076,3873500
2020-02-01,2716.697998,3058.897949,2685.269043,2880.303955,2880.303955,6536900
2020-03-01,2899.310059,3074.257080,2646.804932,2750.295898,2750.295898,6989500
2020-04-01,2743.541016,2865.590088,2719.904053,2860.082031,2860.082031,4710400
2020-05-01,2831.633057,2914.280029,2802.465088,2852.351074,2852.351074,3703600
2020-06-01,2871.964111,2990.824951,2871.964111,2984.674072,2984.674072,4699800
2020-07-01,2991.180908,3458.791016,2984.983887,3310.007080,3310.007080,10245000
2020-08-01,3332.183105,3456.720947,3263.264893,3395.677979,3395.677979,7359100
2020-09-01,3389.741943,3425.628906,3202.343994,3218.052002,3218.052002,4906000
2020-10-01,3262.611084,3371.090088,3219.422119,3224.532959,3224.532959,3036800
2020-11-01,3228.715088,3456.739990,3209.908936,3391.760010,3391.760010,5680600
2020-12-01,3388.989990,3474.917969,3325.172119,3473.069092,3473.069092,6445100
2021-01-01,3474.678955,3637.100098,3446.547119,3483.069092,3483.069092,6639700
2021-02-01,3477.172119,3731.687012,3465.770996,3509.080078,3509.080078,4840700
2021-03-01,3531.479980,3577.620117,3328.310059,3441.909912,3441.909912,7440600
2021-04-01,3444.810059,3497.120117,3373.090088,3446.860107,3446.860107,5695300
2021-05-01,3446.070068,3530.510010,3384.699951,3506.939941,3506.939941,3554700
